Street Number,Street Name,Postal Code,Ward,Plan Number,Lot Number,Contractor,Building Type,Municipality,Description,D.U.,Value,Sq. Ft.,Permit Number,Application Type,Permit Issued Date
260  -36,YORK ST ,K1N5V1,Ward 12,4R-352,,CINANNI CONSTRUCTION LTD.,Rowhouse,Old Ottawa,"Exterior alterations to repair the masonry and foundation of a block of 7, 2 storey rowhouses",0,"33,000",108,1104296,Construction, 2011-Jul-08
260  -38,YORK ST ,K1N5V1,Ward 12,4R-352,,CINANNI CONSTRUCTION LTD.,Rowhouse,Old Ottawa,"Exterior alterations to repair the masonry and foundation of a block of 7, 2 storey rowhouses",0,"33,000",108,1104296,Construction, 2011-Jul-08
260  -40,YORK ST ,K1N5V1,Ward 12,4R-352,,CINANNI CONSTRUCTION LTD.,Rowhouse,Old Ottawa,"Exterior alterations to repair the masonry and foundation of a block of 7, 2 storey rowhouses",0,"33,000",108,1104296,Construction, 2011-Jul-08
260  -42,YORK ST ,K1N5V1,Ward 12,4R-352,,CINANNI CONSTRUCTION LTD.,Rowhouse,Old Ottawa,"Exterior alterations to repair the masonry and foundation of a block of 7, 2 storey rowhouses",0,"33,000",108,1104296,Construction, 2011-Jul-08
260  -44,YORK ST ,K1N5V1,Ward 12,4R-352,,CINANNI CONSTRUCTION LTD.,Rowhouse,Old Ottawa,"Exterior alterations to repair the masonry and foundation of a block of 7, 2 storey rowhouses",0,"33,000",108,1104296,Construction, 2011-Jul-08
331  ,CLARENCE ST ,K1N8W2,Ward 12,43586,13 - 15,CINANNI CONSTRUCTION LTD.,Rowhouse,Old Ottawa,"Exterior alterations to repair the masonry and foundation of a block of 3, 2 storey rowhouses",0,"31,000",108,1104297,Construction, 2011-Jul-08
333  ,CLARENCE ST ,K1N8W2,Ward 12,43586,13 - 15,CINANNI CONSTRUCTION LTD.,Rowhouse,Old Ottawa,"Exterior alterations to repair the masonry and foundation of a block of 3, 2 storey rowhouses",0,"31,000",108,1104297,Construction, 2011-Jul-08
335  ,CLARENCE ST ,K1N8W2,Ward 12,43586,13 - 15,CINANNI CONSTRUCTION LTD.,Rowhouse,Old Ottawa,"Exterior alterations to repair the masonry and foundation of a block of 3, 2 storey rowhouses",0,"31,000",108,1104297,Construction, 2011-Jul-08
260  -33,YORK ST ,K1N5V1,Ward 12,4R-352,,CINANNI CONSTRUCTION LTD.,Rowhouse,Old Ottawa,"Exterior alterations to repair the masonry and foundation of a block of 4, 2 storey rowhouses",0,"40,000",108,1104298,Construction, 2011-Jul-08
260  -35,YORK ST ,K1N5V1,Ward 12,4R-352,,CINANNI CONSTRUCTION LTD.,Rowhouse,Old Ottawa,"Exterior alterations to repair the masonry and foundation of a block of 4, 2 storey rowhouses",0,"40,000",108,1104298,Construction, 2011-Jul-08
260  -37,YORK ST ,K1N5V1,Ward 12,4R-352,,CINANNI CONSTRUCTION LTD.,Rowhouse,Old Ottawa,"Exterior alterations to repair the masonry and foundation of a block of 4, 2 storey rowhouses",0,"40,000",108,1104298,Construction, 2011-Jul-08
260  -39,YORK ST ,K1N5V1,Ward 12,4R-352,,CINANNI CONSTRUCTION LTD.,Rowhouse,Old Ottawa,"Exterior alterations to repair the masonry and foundation of a block of 4, 2 storey rowhouses",0,"40,000",108,1104298,Construction, 2011-Jul-08
360  ,MURRAY ST ,K1N8V9,Ward 12,43586,PT 22 to 24,CINANNI CONSTRUCTION LTD.,Rowhouse,Old Ottawa,"Exterior alterations to repair the masonry and foundation of a block of 7, 2 storey rowhouses",0,"23,000",108,1104299,Construction, 2011-Jul-08
362  ,MURRAY ST ,K1N8V9,Ward 12,43586,PT 22 to 24,CINANNI CONSTRUCTION LTD.,Rowhouse,Old Ottawa,"Exterior alterations to repair the masonry and foundation of a block of 7, 2 storey rowhouses",0,"23,000",108,1104299,Construction, 2011-Jul-08
364  ,MURRAY ST ,K1N8V9,Ward 12,43586,PT 22 to 24,CINANNI CONSTRUCTION LTD.,Rowhouse,Old Ottawa,"Exterior alterations to repair the masonry and foundation of a block of 7, 2 storey rowhouses",0,"23,000",108,1104299,Construction, 2011-Jul-08
366  ,MURRAY ST ,K1N8V9,Ward 12,43586,PT 22 to 24,CINANNI CONSTRUCTION LTD.,Rowhouse,Old Ottawa,"Exterior alterations to repair the masonry and foundation of a block of 7, 2 storey rowhouses",0,"23,000",108,1104299,Construction, 2011-Jul-08
368  ,MURRAY ST ,K1N8V9,Ward 12,43586,PT 22 to 24,CINANNI CONSTRUCTION LTD.,Rowhouse,Old Ottawa,"Exterior alterations to repair the masonry and foundation of a block of 7, 2 storey rowhouses",0,"23,000",108,1104299,Construction, 2011-Jul-08
370  ,MURRAY ST ,K1N8V9,Ward 12,43586,PT 22 to 24,CINANNI CONSTRUCTION LTD.,Rowhouse,Old Ottawa,"Exterior alterations to repair the masonry and foundation of a block of 7, 2 storey rowhouses",0,"23,000",108,1104299,Construction, 2011-Jul-08
372  ,MURRAY ST ,K1N8V9,Ward 12,43586,PT 22 to 24,CINANNI CONSTRUCTION LTD.,Rowhouse,Old Ottawa,"Exterior alterations to repair the masonry and foundation of a block of 7, 2 storey rowhouses",0,"23,000",108,1104299,Construction, 2011-Jul-08
270  ,YORK ST ,K1N5V1,Ward 12,4R-352,,CINANNI CONSTRUCTION LTD.,Rowhouse,Old Ottawa,"Exterior alterations to repair the masonry and foundation of a block of 9, 2 storey rowhouses",0,"50,000",108,1104300,Construction, 2011-Jul-08
272  ,YORK ST ,K1N5V1,Ward 12,4R-352,,CINANNI CONSTRUCTION LTD.,Rowhouse,Old Ottawa,"Exterior alterations to repair the masonry and foundation of a block of 9, 2 storey rowhouses",0,"50,000",108,1104300,Construction, 2011-Jul-08
274  ,YORK ST ,K1N5V1,Ward 12,4R-352,,CINANNI CONSTRUCTION LTD.,Rowhouse,Old Ottawa,"Exterior alterations to repair the masonry and foundation of a block of 9, 2 storey rowhouses",0,"50,000",108,1104300,Construction, 2011-Jul-08
276  ,YORK ST ,K1N5V1,Ward 12,4R-352,,CINANNI CONSTRUCTION LTD.,Rowhouse,Old Ottawa,"Exterior alterations to repair the masonry and foundation of a block of 9, 2 storey rowhouses",0,"50,000",108,1104300,Construction, 2011-Jul-08
278  ,YORK ST ,K1N5V1,Ward 12,4R-352,,CINANNI CONSTRUCTION LTD.,Rowhouse,Old Ottawa,"Exterior alterations to repair the masonry and foundation of a block of 9, 2 storey rowhouses",0,"50,000",108,1104300,Construction, 2011-Jul-08
280  ,YORK ST ,K1N5V1,Ward 12,4R-352,,CINANNI CONSTRUCTION LTD.,Rowhouse,Old Ottawa,"Exterior alterations to repair the masonry and foundation of a block of 9, 2 storey rowhouses",0,"50,000",108,1104300,Construction, 2011-Jul-08
282  ,YORK ST ,K1N5V1,Ward 12,4R-352,,CINANNI CONSTRUCTION LTD.,Rowhouse,Old Ottawa,"Exterior alterations to repair the masonry and foundation of a block of 9, 2 storey rowhouses",0,"50,000",108,1104300,Construction, 2011-Jul-08
284  ,YORK ST ,K1N5V1,Ward 12,4R-352,,CINANNI CONSTRUCTION LTD.,Rowhouse,Old Ottawa,"Exterior alterations to repair the masonry and foundation of a block of 9, 2 storey rowhouses",0,"50,000",108,1104300,Construction, 2011-Jul-08
286  ,YORK ST ,K1N5V1,Ward 12,4R-352,,CINANNI CONSTRUCTION LTD.,Rowhouse,Old Ottawa,"Exterior alterations to repair the masonry and foundation of a block of 9, 2 storey rowhouses",0,"50,000",108,1104300,Construction, 2011-Jul-08
3777 B ,STRANDHERD DR ,,Ward 3,,15,CONTRACTOR UNKNOWN,Retail,Nepean,Tenant fit-up in a 1 storey commercial retail building (Future Shop),0,"700,000",25655,1104301,Construction, 2011-Jul-08
190  -1,BEAUSOLEIL DR ,K1N8X8,Ward 12,598,,CINANNI CONSTRUCTION LTD.,Rowhouse,Old Ottawa,"Exterior alterations to repair the masonry and foundation of a block of 9, 2 storey rowhouses",0,"35,000",108,1104302,Construction, 2011-Jul-08
190  -11,BEAUSOLEIL DR ,K1N8X8,Ward 12,598,,CINANNI CONSTRUCTION LTD.,Rowhouse,Old Ottawa,"Exterior alterations to repair the masonry and foundation of a block of 9, 2 storey rowhouses",0,"35,000",108,1104302,Construction, 2011-Jul-08
190  -13,BEAUSOLEIL DR ,K1N8X8,Ward 12,598,,CINANNI CONSTRUCTION LTD.,Rowhouse,Old Ottawa,"Exterior alterations to repair the masonry and foundation of a block of 9, 2 storey rowhouses",0,"35,000",108,1104302,Construction, 2011-Jul-08
190  -15,BEAUSOLEIL DR ,K1N8X8,Ward 12,598,,CINANNI CONSTRUCTION LTD.,Rowhouse,Old Ottawa,"Exterior alterations to repair the masonry and foundation of a block of 9, 2 storey rowhouses",0,"35,000",108,1104302,Construction, 2011-Jul-08
190  -17,BEAUSOLEIL DR ,K1N8X8,Ward 12,598,,CINANNI CONSTRUCTION LTD.,Rowhouse,Old Ottawa,"Exterior alterations to repair the masonry and foundation of a block of 9, 2 storey rowhouses",0,"35,000",108,1104302,Construction, 2011-Jul-08
190  -3,BEAUSOLEIL DR ,K1N8X8,Ward 12,598,,CINANNI CONSTRUCTION LTD.,Rowhouse,Old Ottawa,"Exterior alterations to repair the masonry and foundation of a block of 9, 2 storey rowhouses",0,"35,000",108,1104302,Construction, 2011-Jul-08
190  -5,BEAUSOLEIL DR ,K1N8X8,Ward 12,598,,CINANNI CONSTRUCTION LTD.,Rowhouse,Old Ottawa,"Exterior alterations to repair the masonry and foundation of a block of 9, 2 storey rowhouses",0,"35,000",108,1104302,Construction, 2011-Jul-08
190  -7,BEAUSOLEIL DR ,K1N8X8,Ward 12,598,,CINANNI CONSTRUCTION LTD.,Rowhouse,Old Ottawa,"Exterior alterations to repair the masonry and foundation of a block of 9, 2 storey rowhouses",0,"35,000",108,1104302,Construction, 2011-Jul-08
190  -9,BEAUSOLEIL DR ,K1N8X8,Ward 12,598,,CINANNI CONSTRUCTION LTD.,Rowhouse,Old Ottawa,"Exterior alterations to repair the masonry and foundation of a block of 9, 2 storey rowhouses",0,"35,000",108,1104302,Construction, 2011-Jul-08
135  ,BEAUSOLEIL DR ,K1N8W3,Ward 12,4M-3586,22 to 24,CINANNI CONSTRUCTION LTD.,Rowhouse,Old Ottawa,"Exterior alterations to repair the masonry and foundation of a block of 6, 2 storey rowhouses (Block 10)",0,"59,000",10,1104303,Construction, 2011-Jul-08
137  ,BEAUSOLEIL DR ,K1N8W3,Ward 12,4M-3586,22 to 24,CINANNI CONSTRUCTION LTD.,Rowhouse,Old Ottawa,"Exterior alterations to repair the masonry and foundation of a block of 6, 2 storey rowhouses (Block 10)",0,"59,000",10,1104303,Construction, 2011-Jul-08
139  ,BEAUSOLEIL DR ,K1N8W3,Ward 12,4M-3586,22 to 24,CINANNI CONSTRUCTION LTD.,Rowhouse,Old Ottawa,"Exterior alterations to repair the masonry and foundation of a block of 6, 2 storey rowhouses (Block 10)",0,"59,000",10,1104303,Construction, 2011-Jul-08
141  ,BEAUSOLEIL DR ,K1N8W3,Ward 12,4M-3586,22 to 24,CINANNI CONSTRUCTION LTD.,Rowhouse,Old Ottawa,"Exterior alterations to repair the masonry and foundation of a block of 6, 2 storey rowhouses (Block 10)",0,"59,000",10,1104303,Construction, 2011-Jul-08
143  ,BEAUSOLEIL DR ,K1N8W3,Ward 12,4M-3586,22 to 24,CINANNI CONSTRUCTION LTD.,Rowhouse,Old Ottawa,"Exterior alterations to repair the masonry and foundation of a block of 6, 2 storey rowhouses (Block 10)",0,"59,000",10,1104303,Construction, 2011-Jul-08
145  ,BEAUSOLEIL DR ,K1N8W3,Ward 12,4M-3586,22 to 24,CINANNI CONSTRUCTION LTD.,Rowhouse,Old Ottawa,"Exterior alterations to repair the masonry and foundation of a block of 6, 2 storey rowhouses (Block 10)",0,"59,000",10,1104303,Construction, 2011-Jul-08
383  ,MAPLE LANE ,K1M1H7,Ward 13,251,24 - 25,CONTRACTOR UNKNOWN,Single,Old Ottawa,Construct a 2 storey addition at the rear and interior alterations on the 1st floor of a 2 storey detached dwelling,0,"50,000",850,1104304,Construction, 2011-Jul-08
85  ,BEAUSOLEIL DR ,K1N8W3,Ward 12,43586,pt lots 22 - 24,CINANNI CONSTRUCTION LTD.,Rowhouse,Old Ottawa,"Exterior alterations to repair the masonry and foundation of a block of 8, 2 storey rowhouses",0,"45,000",108,1104305,Construction, 2011-Jul-08
87  ,BEAUSOLEIL DR ,K1N8W3,Ward 12,43586,pt lots 22 - 24,CINANNI CONSTRUCTION LTD.,Rowhouse,Old Ottawa,"Exterior alterations to repair the masonry and foundation of a block of 8, 2 storey rowhouses",0,"45,000",108,1104305,Construction, 2011-Jul-08
89  ,BEAUSOLEIL DR ,K1N8W3,Ward 12,43586,pt lots 22 - 24,CINANNI CONSTRUCTION LTD.,Rowhouse,Old Ottawa,"Exterior alterations to repair the masonry and foundation of a block of 8, 2 storey rowhouses",0,"45,000",108,1104305,Construction, 2011-Jul-08
91  ,BEAUSOLEIL DR ,K1N8W3,Ward 12,43586,pt lots 22 - 24,CINANNI CONSTRUCTION LTD.,Rowhouse,Old Ottawa,"Exterior alterations to repair the masonry and foundation of a block of 8, 2 storey rowhouses",0,"45,000",108,1104305,Construction, 2011-Jul-08
93  ,BEAUSOLEIL DR ,K1N8W3,Ward 12,43586,pt lots 22 - 24,CINANNI CONSTRUCTION LTD.,Rowhouse,Old Ottawa,"Exterior alterations to repair the masonry and foundation of a block of 8, 2 storey rowhouses",0,"45,000",108,1104305,Construction, 2011-Jul-08
95  ,BEAUSOLEIL DR ,K1N8W3,Ward 12,43586,pt lots 22 - 24,CINANNI CONSTRUCTION LTD.,Rowhouse,Old Ottawa,"Exterior alterations to repair the masonry and foundation of a block of 8, 2 storey rowhouses",0,"45,000",108,1104305,Construction, 2011-Jul-08
97  ,BEAUSOLEIL DR ,K1N8W3,Ward 12,43586,pt lots 22 - 24,CINANNI CONSTRUCTION LTD.,Rowhouse,Old Ottawa,"Exterior alterations to repair the masonry and foundation of a block of 8, 2 storey rowhouses",0,"45,000",108,1104305,Construction, 2011-Jul-08
99  ,BEAUSOLEIL DR ,K1N8W3,Ward 12,43586,pt lots 22 - 24,CINANNI CONSTRUCTION LTD.,Rowhouse,Old Ottawa,"Exterior alterations to repair the masonry and foundation of a block of 8, 2 storey rowhouses",0,"45,000",108,1104305,Construction, 2011-Jul-08
270  ,ELGIN ST ,K2P1M2,Ward 14,15558,1 AND 2,CONTRACTOR UNKNOWN,Office,Old Ottawa,"Interior alterations in the basement and on the 1st floor of a 2 storey commercial building (Saralex, Unit 270)",0,"69,000",1895,1104306,Construction, 2011-Jul-08
23  ,ELVINA ST ,K1J7L2,Ward 11,591,PT 160 & 161,CONTRACTOR UNKNOWN,Single,Gloucester,Construct an attached garage with an addition above at the side of a 1 storey single family dwelling.  Construct a secondary dwelling in the basement of a 1 storey single family dwelling.  Construct two decks at the rear of a 1 storey single family dwelling.,0,"51,435",373,1104307,Construction, 2011-Jul-08
4  ,FELDSPAR CRES ,K2S1Y2,Ward 6,4M-1084,13,HOLIDAY POOLS,Single,Goulbourn,Install and enclose an inground pool in rear of a 1 storey single family dwelling,0,0,0,1104308,Pool Enclosure, 2011-Jul-08
9  ,GRANDLEA TER ,K2G6X6,Ward 22,4M-1140,161,CONTRACTOR UNKNOWN,Single,Nepean,Install a window in the side of a 2 storey detached dwelling,0,"1,500",48,1104309,Construction, 2011-Jul-08
38  ,BLACKBIRD LANE ,K2S2C9,Ward 6,4M-1160,106,***CONTRACTOR***,Single,Goulbourn,Enclosure of an above ground pool in rear yard of detached dwelling,0,0,0,1104310,Pool Enclosure, 2011-Jul-08
1145  ,MARITIME WAY ,K2K0G5,Ward 4,4M-1325,,KANATA CENTRE PREMIUM RENTALS INC.,Apartment,Kanata,"EXCAVATION AND FOUNDATION ONLY - Construct a 2 storey commercial building. (Kanata Lakes Apartment, Building E)",0,"200,000",16146,1104311,Construction, 2011-Jul-08
255  ,ALBERT ST ,K1A0H2,Ward 14,3922,1-4,CONTRACTOR UNKNOWN,Office,Old Ottawa,Interior alterations to the ground floor of a 17 storey commercial office building. (Vestibule and Arcade),0,"240,000",2691,1104312,Construction, 2011-Jul-08
25  ,AMHERST CRES ,K2J1S7,Ward 3,M-207,,CLUB PISCINE,Single,Nepean,Enclosure of an above ground pool in the rear yard of a detached dwelling,0,0,0,1104313,Pool Enclosure, 2011-Jul-08
69  ,GRENFELL CRES ,K2G0G5,Ward 9,352049,181,HUBERT HEATING,Single,Nepean,Install a solid fuel burning woodstove in a 1 storey detached dwelling,0,"5,000",0,1104314,Construction, 2011-Jul-08
151  ,BAY ST ,K0A1W1,Ward 14,,,HOSKINS RESTORATION SERVICES INC.,Apartment,Old Ottawa,Exterior alterations to repair ramp and landing at the front of a 12 storey apartment building,0,"460,000",70,1104315,Construction, 2011-Jul-08
15  ,MUTCHMOR RD ,K1S1L6,Ward 17,241619,54,ENGEL CONSTRUCTION,Single,Old Ottawa,Construct a 2 storey addition at the rear and interior alterations on the 1st and 2nd floors of a 2 storey detached dwelling,0,"105,000",880,1104316,Construction, 2011-Jul-08
3  ,KENNEVALE DR ,K2J3B1,Ward 3,4M-540,11,MIRACLE DREAM HOMES,Single,Nepean,Interior alterations to the basement of a 2 storey detached dwelling.,0,"14,860",280,1104317,Construction, 2011-Jul-08
336  ,MCEACHERN CRES ,K1E3P5,Ward 1,50M-104,1,***CONTRACTOR***,Single,Cumberland,Enclosure of an above ground pool in the rear yard of a detached dwelling,0,0,0,1104318,Pool Enclosure, 2011-Jul-08
9  ,MONTEBELLO LANE ,K2L1X5,Ward 23,896,PT LOT 1124,***CONTRACTOR***,Semi - Detached,Kanata,Construct a roof over existing deck in the rear yard of a semi-detached dwelling,0,"1,680",152,1104319,Construction, 2011-Jul-08
2611  ,WATSON RD ,K4B1J1,Ward 19,26,6,CONTRACTOR UNKNOWN,Detached Garage/Shed,Cumberland,Remove and replace the foundation of a detached garage in the rear yard of a 1 1/2 storey detached dwelling,0,"8,500",448,1104320,Construction, 2011-Jul-08
46  ,BREEZEHILL AVE N,K1Y4W6,Ward 15,73,2,***CONTRACTOR***,Rowhouse,Old Ottawa,Construct a 2nd storey deck at the side of a 2 storey rowhouse,0,"2,500",160,1104321,Construction, 2011-Jul-08
92  ,HARTSMERE DR ,K2S2B7,Ward 6,4M-1163,49,***CONTRACTOR***,Single,Goulbourn,Enclosure of a hot tub in the rear yard of a single family dwelling,0,0,0,1104322,Pool Enclosure, 2011-Jul-08
4113  ,STAGECOACH RD ,K0A2W0,Ward 20,,38,***CONTRACTOR***,Other,Osgoode,Install 51 Schuco PV panels on the roof of a 1 storey workshop,0,"15,000",980,1104323,Construction, 2011-Jul-08
50  ,RIDEAU ST ,K1N9J7,Ward 12,,,CONTRACTOR UNKNOWN,Retail,Old Ottawa,"Tenant fit up in a 4 storey commercial building  (Bose, Unit 379)",0,"150,000",2099,1104324,Construction, 2011-Jul-08
8065  ,FRANKTOWN RD ,,Ward 21,,8,***CONTRACTOR***,Detached Garage/Shed,Goulbourn,Construct a detached garage at the side of a 2 storey detached dwelling,0,"25,000",1200,1104325,Construction, 2011-Jul-08
126  ,YORK ST ,K1N5T5,Ward 12,42482,21 TO 23,CONTRACTOR UNKNOWN,Office,Old Ottawa,Interior alterations to remove walls on the 2nd floor offices in a 5 storey commercial building,0,"33,964",9699,1104326,Construction, 2011-Jul-08
33  ,HERRIDGE ST ,K1S0G6,Ward 17,102,6,OAKWOOD BUILDERS,Single,Old Ottawa,Construct a 1 storey addition at the side of a 2 storey detached dwelling,0,"15,000",689,1104327,Construction, 2011-Jul-08
1929  ,OGILVIE RD ,,Ward 13,M-50,,CONTRACTOR UNKNOWN,Office,Gloucester,"STRUCTURAL ONLY (SUPERSTRUCTURE) - Construction of a 1 storey shipping, receiving and storage facility building (SSRB) foundation constructed under application #A11-002456 (BP# 1103091)",0,"691,110",33900,1104328,Construction, 2011-Jul-08
1929  ,OGILVIE RD ,,Ward 13,M-50,,PCL CONSTRUCTORS CANADA INC.,Office,Gloucester,"FOUNDATION ONLY - Construction of a 5 storey portion of a 5 storey institutional office building (LTAP Pod 5, 6 & 7 Government Defence Construction)",0,"4,394,958",531240,1104329,Construction, 2011-Jul-08
44  ,SECOND AVE ,K1S2H3,Ward 17,35085,PT LOT 13,CONTRACTOR UNKNOWN,Single,Old Ottawa,Construct a deck in the rear yard and interior alterations on the 1st floor of a 3 storey detached dwelling,0,"5,000",60,1104330,Construction, 2011-Jul-08
6956  ,VIOLA ST ,K0A2T0,Ward 21,4M-897,12,***CONTRACTOR***,Detached Garage/Shed,Rideau,Construct a detached  garage at the side of a 1 storey dwelling,0,"10,000",527,1104331,Construction, 2011-Jul-08
1908  ,MCCORD DR ,K2W1B3,Ward 5,4M-809,4,BENOIT LANDSCAPING & RENOVATIONS,Single,Kanata,Construct a deck at the rear of a single family dwelling,0,"5,500",522,1104332,Construction, 2011-Jul-08
181  ,ACACIA AVE ,K1M0R5,Ward 13,251,14,CONTRACTOR UNKNOWN,Single,Rockcliffe Park,Remove a porch and replace with a 1 storey addition at the rear of a 2 storey detached dwelling,0,"38,000",269,1104333,Construction, 2011-Jul-08
424  ,FOXHALL WAY ,K2M0G1,Ward 23,4M-1315,113-118,URBANDALE CONSTRUCTION,Rowhouse,Kanata,"Construct a block of 6, 2 storey rowhouses with attached garages",6,"710,760",9258,1104334,Construction, 2011-Jul-08
426  ,FOXHALL WAY ,K2M0G1,Ward 23,4M-1315,113-118,URBANDALE CONSTRUCTION,Rowhouse,Kanata,"Construct a block of 6, 2 storey rowhouses with attached garages",6,"710,760",9258,1104334,Construction, 2011-Jul-08
428  ,FOXHALL WAY ,K2M0G1,Ward 23,4M-1315,113-118,URBANDALE CONSTRUCTION,Rowhouse,Kanata,"Construct a block of 6, 2 storey rowhouses with attached garages",6,"710,760",9258,1104334,Construction, 2011-Jul-08
430  ,FOXHALL WAY ,K2M0G1,Ward 23,4M-1315,113-118,URBANDALE CONSTRUCTION,Rowhouse,Kanata,"Construct a block of 6, 2 storey rowhouses with attached garages",6,"710,760",9258,1104334,Construction, 2011-Jul-08
432  ,FOXHALL WAY ,K2M0G1,Ward 23,4M-1315,113-118,URBANDALE CONSTRUCTION,Rowhouse,Kanata,"Construct a block of 6, 2 storey rowhouses with attached garages",6,"710,760",9258,1104334,Construction, 2011-Jul-08
434  ,FOXHALL WAY ,K2M0G1,Ward 23,4M-1315,113-118,URBANDALE CONSTRUCTION,Rowhouse,Kanata,"Construct a block of 6, 2 storey rowhouses with attached garages",6,"710,760",9258,1104334,Construction, 2011-Jul-08
4764  ,BANK ST ,K1T3W7,Ward 22,,18-19,CONTRACTOR UNKNOWN,Commercial,Gloucester,Construct a 1 storey commercial building (Tim Horton's),0,"477,360",223,1104335,Construction, 2011-Jul-08
2970  ,QUILLIVAN LANE ,K4C1A9,Ward 19,50M-101,1,***CONTRACTOR***,Single,Cumberland,Enclosure of an above ground pool in the rear yard of a detached dwelling,0,0,0,1104336,Pool Enclosure, 2011-Jul-08
740  ,KILMAR CRES ,K2T0B2,Ward 4,4M-1362,42,***CONTRACTOR***,Single,Kanata,Construct a deck in the rear yard of a 2 storey detached dwelling,0,"3,500",312,1104337,Construction, 2011-Jul-08
7  ,HUNTERSWOOD CRES ,K1G5V1,Ward 10,4M-842,14,MERMAID POOLS - OGILVIE ROAD,Single,Old Ottawa,Enclosure of an inground pool in the rear yard of a detached dwelling,0,0,0,1104338,Pool Enclosure, 2011-Jul-11
2760  ,WYLDEWOOD ST ,K1T2S4,Ward 10,4M-507,33,MERMAID POOLS - OGILVIE ROAD,Single,Gloucester,Enclosure of a semi inground pool in the rear yard of a detached dwelling,0,0,0,1104339,Pool Enclosure, 2011-Jul-11
1642  ,AGATHA ST ,K4A4L5,Ward 1,4M-1138,141,PERSONAL PARADISE POOLS,Single,Cumberland,Enclosure of an inground pool in the rear yard of a detached dwelling,0,0,0,1104340,Pool Enclosure, 2011-Jul-11
1865  ,ELMRIDGE DR ,K1J8G7,Ward 11,859,755,***CONTRACTOR***,Detached Garage/Shed,Gloucester,Construct a detached garage in the rear yard of a 2 storey single family dwelling,0,"30,000",384,1104341,Construction, 2011-Jul-11
31  ,VERMONT AVE ,K2G6M2,Ward 22,4M-979,,MERMAID POOLS (MERIVALE),Single,Nepean,Enclosure of an above ground pool in the rear yard of a single dwelling family,0,0,0,1104342,Pool Enclosure, 2011-Jul-11
24  ,ST. CLAIRE AVE ,K2G1Z9,Ward 8,375,1593,CAPITAL EXCAVATING (1702715 ONTARIO INC.),Demolition,Nepean,Demolish a 1 storey detached dwelling related to a marijuana grow operation.,-1,"10,000",-1000,1104343,Demolition, 2011-Jul-11
1540  ,FIESTA AVE ,K4C1A7,Ward 19,M-35,4,***CONTRACTOR***,Detached Garage/Shed,Cumberland,Construct a 1 storey detached garage at the back of a 2 storey detached dwelling,0,"8,000",484,1104344,Construction, 2011-Jul-11
1089  ,BRASSEUR CRES ,K4A5A1,Ward 19,4M-1217,,MERMAID,Single,Cumberland,Enclosure of an above ground pool in the rear yard of a detached dwelling,0,0,0,1104345,Pool Enclosure, 2011-Jul-11
452  ,SADAR PRIV ,K2J0C8,Ward 3, 4M-1289,,DCR PHOENIX DEVELOPMENT CORPORATION LIMITED,Rowhouse,Nepean,"Construct a 3 Storey Rowhouse with attached garages  Models: Maple 2009 B,Willow 2009 B,Willow 2009 B,Maple 2009 A",4,"391,482",5284,1104346,Construction, 2011-Jul-11
454  ,SADAR PRIV ,K2J0C8,Ward 3, 4M-1289,,DCR PHOENIX DEVELOPMENT CORPORATION LIMITED,Rowhouse,Nepean,"Construct a 3 Storey Rowhouse with attached garages  Models: Maple 2009 B,Willow 2009 B,Willow 2009 B,Maple 2009 A",4,"391,482",5284,1104346,Construction, 2011-Jul-11
456  ,SADAR PRIV ,K2J0C8,Ward 3, 4M-1289,,DCR PHOENIX DEVELOPMENT CORPORATION LIMITED,Rowhouse,Nepean,"Construct a 3 Storey Rowhouse with attached garages  Models: Maple 2009 B,Willow 2009 B,Willow 2009 B,Maple 2009 A",4,"391,482",5284,1104346,Construction, 2011-Jul-11
458  ,SADAR PRIV ,K2J0C8,Ward 3, 4M-1289,,DCR PHOENIX DEVELOPMENT CORPORATION LIMITED,Rowhouse,Nepean,"Construct a 3 Storey Rowhouse with attached garages  Models: Maple 2009 B,Willow 2009 B,Willow 2009 B,Maple 2009 A",4,"391,482",5284,1104346,Construction, 2011-Jul-11
466  ,NELSON ST ,K1N7S8,Ward 12,45224,32,CONTRACTOR UNKNOWN,Semi - Detached,Old Ottawa,Construct a 3 storey addition at the rear and add a third floor to an existing 2 storey semi-detached dwelling and convert dwelling into a 4 unit building.,1,"254,167",3000,1104347,Construction, 2011-Jul-11
468  ,NELSON ST ,K1N7S8,Ward 12,45224,32,CONTRACTOR UNKNOWN,Semi - Detached,Old Ottawa,Construct a 3 storey addition at the rear and add a third floor to an existing 2 storey semi-detached dwelling and convert dwelling into a 4 unit building.,1,"254,167",3000,1104347,Construction, 2011-Jul-11
1318  ,AGINCOURT RD ,K2C2J4,Ward 8,372115,629,ARTISTIC GROUP,Single,Old Ottawa,Enclosure of an inground pool in the rear yard of a single family dwelling,0,0,0,1104348,Pool Enclosure, 2011-Jul-11
4  ,JACQUELINE CRES ,K2S1M1,Ward 6,4M-794,160,***CONTRACTOR***,Single,Goulbourn,Interior alterations to finish the basement in a 1 storey detached dwelling,0,"50,000",1000,1104349,Construction, 2011-Jul-11
416  ,CREEKVIEW WAY ,K1T0J5,Ward 22,4M-,,TARTAN LAND CORPORATION,Single,Gloucester,Construct a 2 storey detached dwelling with attached garage (Model: Whitney C 2009),1,"266,340",394,1104350,Construction, 2011-Jul-11
