Street Number,Street Name,Postal Code,Ward,Plan Number,Lot Number,Contractor,Building Type,Municipality,Description,D.U.,Value,Sq. Ft.,Permit Number,Application Type,Permit Issued Date
63 B ,TIPPERARY PRIV ,K2J2T3,Ward 3,4M-1229,,RICHCRAFT HOMES LIMITED,Apartment,Nepean,FOUNDATION ONLY- Construct the foundation for a 3 storey apartment,19,0,0,1104689,Construction, 2011-Jul-21
65 A ,TIPPERARY PRIV ,K2J2T3,Ward 3,4M-1229,,RICHCRAFT HOMES LIMITED,Apartment,Nepean,FOUNDATION ONLY- Construct the foundation for a 3 storey apartment,19,0,0,1104689,Construction, 2011-Jul-21
65 B ,TIPPERARY PRIV ,K2J2T3,Ward 3,4M-1229,,RICHCRAFT HOMES LIMITED,Apartment,Nepean,FOUNDATION ONLY- Construct the foundation for a 3 storey apartment,19,0,0,1104689,Construction, 2011-Jul-21
65 C ,TIPPERARY PRIV ,K2J2T3,Ward 3,4M-1229,,RICHCRAFT HOMES LIMITED,Apartment,Nepean,FOUNDATION ONLY- Construct the foundation for a 3 storey apartment,19,0,0,1104689,Construction, 2011-Jul-21
65 D ,TIPPERARY PRIV ,K2J2T3,Ward 3,4M-1229,,RICHCRAFT HOMES LIMITED,Apartment,Nepean,FOUNDATION ONLY- Construct the foundation for a 3 storey apartment,19,0,0,1104689,Construction, 2011-Jul-21
65 E ,TIPPERARY PRIV ,K2J2T3,Ward 3,4M-1229,,RICHCRAFT HOMES LIMITED,Apartment,Nepean,FOUNDATION ONLY- Construct the foundation for a 3 storey apartment,19,0,0,1104689,Construction, 2011-Jul-21
65 F ,TIPPERARY PRIV ,K2J2T3,Ward 3,4M-1229,,RICHCRAFT HOMES LIMITED,Apartment,Nepean,FOUNDATION ONLY- Construct the foundation for a 3 storey apartment,19,0,0,1104689,Construction, 2011-Jul-21
65 G ,TIPPERARY PRIV ,K2J2T3,Ward 3,4M-1229,,RICHCRAFT HOMES LIMITED,Apartment,Nepean,FOUNDATION ONLY- Construct the foundation for a 3 storey apartment,19,0,0,1104689,Construction, 2011-Jul-21
65 H ,TIPPERARY PRIV ,K2J2T3,Ward 3,4M-1229,,RICHCRAFT HOMES LIMITED,Apartment,Nepean,FOUNDATION ONLY- Construct the foundation for a 3 storey apartment,19,0,0,1104689,Construction, 2011-Jul-21
67 A ,TIPPERARY PRIV ,K2J2T3,Ward 3,4M-1229,,RICHCRAFT HOMES LIMITED,Apartment,Nepean,FOUNDATION ONLY- Construct the foundation for a 3 storey apartment,19,0,0,1104689,Construction, 2011-Jul-21
67 B ,TIPPERARY PRIV ,K2J2T3,Ward 3,4M-1229,,RICHCRAFT HOMES LIMITED,Apartment,Nepean,FOUNDATION ONLY- Construct the foundation for a 3 storey apartment,19,0,0,1104689,Construction, 2011-Jul-21
67 C ,TIPPERARY PRIV ,K2J2T3,Ward 3,4M-1229,,RICHCRAFT HOMES LIMITED,Apartment,Nepean,FOUNDATION ONLY- Construct the foundation for a 3 storey apartment,19,0,0,1104689,Construction, 2011-Jul-21
67 D ,TIPPERARY PRIV ,K2J2T3,Ward 3,4M-1229,,RICHCRAFT HOMES LIMITED,Apartment,Nepean,FOUNDATION ONLY- Construct the foundation for a 3 storey apartment,19,0,0,1104689,Construction, 2011-Jul-21
67 E ,TIPPERARY PRIV ,K2J2T3,Ward 3,4M-1229,,RICHCRAFT HOMES LIMITED,Apartment,Nepean,FOUNDATION ONLY- Construct the foundation for a 3 storey apartment,19,0,0,1104689,Construction, 2011-Jul-21
67 F ,TIPPERARY PRIV ,K2J2T3,Ward 3,4M-1229,,RICHCRAFT HOMES LIMITED,Apartment,Nepean,FOUNDATION ONLY- Construct the foundation for a 3 storey apartment,19,0,0,1104689,Construction, 2011-Jul-21
67 G ,TIPPERARY PRIV ,K2J2T3,Ward 3,4M-1229,,RICHCRAFT HOMES LIMITED,Apartment,Nepean,FOUNDATION ONLY- Construct the foundation for a 3 storey apartment,19,0,0,1104689,Construction, 2011-Jul-21
67 H ,TIPPERARY PRIV ,K2J2T3,Ward 3,4M-1229,,RICHCRAFT HOMES LIMITED,Apartment,Nepean,FOUNDATION ONLY- Construct the foundation for a 3 storey apartment,19,0,0,1104689,Construction, 2011-Jul-21
6419  ,NATHAN CRT ,K1C5J7,Ward 2,4M-419,256,OAKWOOD BUILDERS,Single,Gloucester,Construct a 1 storey addition at the side and interior alterations to a 2 storey detached dwelling,0,"13,000",88,1104690,Construction, 2011-Jul-21
555  ,ADAMSON CRES ,K2S0S7,Ward 6,,117,PATTEN HOMES 2000,Single,Goulbourn,Construct a 1 storey detached dwelling with attached 2 car garage,1,"302,000",1384,1104693,Construction, 2011-Jul-21
374  ,DALHOUSIE ST ,K1N7G3,Ward 12,101975,6,CONTRACTOR UNKNOWN,Retail,Old Ottawa,Exterior alterations to the storefront of a 3 storey commercial building,0,"6,000",40,1104694,Construction, 2011-Jul-21
6770  ,DEER RUN PL ,K0A2T0,Ward 21,4M-875,18,GRIZZLY HOMES,Single,Rideau,Construct a 2 storey detached dwelling with attached 3 car garage,1,"259,930",3850,1104695,Construction, 2011-Jul-21
319  ,WILD IRIS AVE ,K1T0B6,Ward 10,4M-1290,61,CAPITAL DECKS,Single,Gloucester,Construct a deck in the rear yard of a 2 storey detached dwelling,0,"4,000",132,1104696,Construction, 2011-Jul-21
831  ,SPRINGLAND DR ,K1V6L5,Ward 16,749,225,CONTRACTOR UNKNOWN,Single,Old Ottawa,Construct a 1 storey addition at the side of a 1 storey detached dwelling,0,"3,500",288,1104697,Construction, 2011-Jul-21
37  ,ROYCROFT WAY ,K2W1C7,Ward 5,4M-1128,21,CONTRACTOR UNKNOWN,Single,Kanata,Enclosure of an inground pool in the rear yard of a detached dwelling,0,0,0,1104698,Pool Enclosure, 2011-Jul-21
60  ,COBOURG ST ,K1N8G8,Ward 12,4M-43586,5,V TOMIC CONSTRUCTION,Apartment,Old Ottawa,Interior alterations in the basement of a 3 storey apartment building,0,"1,000",1826,1104699,Construction, 2011-Jul-21
80  ,SADDLEHORN CRES ,K2M2B1,Ward 23,4M-665,72,MERMAID POOLS (MERIVALE),Single,Kanata,Enclosure of an above ground pool in the rear yard of a detached dwelling,0,0,0,1104700,Pool Enclosure, 2011-Jul-21
316  ,SEAGRAM HGTS ,,Ward 5,,40,HOLITZNER HOMES INC.,Single,West Carleton,Construct a 2 storey single family dwelling with attached 2 car garage,1,"272,500",2992,1104701,Construction, 2011-Jul-21
1943  ,MONTMERE AVE ,K4A0C9,Ward 19,4M1313,11,***CONTRACTOR***,Single,Cumberland,Interior alterations to finish the basement of a 2 storey detached dwelling,0,"6,600",675,1104702,Construction, 2011-Jul-21
345  ,MIRABEAU TER ,K4A0R5,Ward 19,4M-1387,86,MINTO COMMUNITIES INC.,Single,Cumberland,Construct a 2 Storey Single with attached garage  Model: Picadilly 2007 A,1,"166,660",2238,1104703,Construction, 2011-Jul-21
6753  ,CHRIS TIERNEY PRIV ,K4P1H5,Ward 20,,PT LOT 15,TO BE DETERMINED,Single,Osgoode,Construct a detached garage and breezeway in the side yard of a 1 storey mobile home,0,"8,800",336,1104704,Construction, 2011-Jul-21
81  ,METCALFE ST ,K1P6K7,Ward 14,3922,,CONTRACTOR UNKNOWN,Office,Old Ottawa,Tenant fit up on the 11th floor of a 12 storey commercial  office building  ( Downtown Chiropatric),0,"101,000",2422,1104705,Construction, 2011-Jul-21
69  ,OSSINGTON AVE ,K1S3B5,Ward 17,115269,159,CONTRACTOR UNKNOWN,Single,Old Ottawa,"Construct 2, 1 storey additions at the rear and interior alterations on the 1st floor of a 3 storey detached dwelling",0,"50,000",301,1104706,Construction, 2011-Jul-21
